BillID,KnessetNum,Name,PublicationDate,MagazineNumber,PageNumber,budget_publication
149117,1,"חוק להארכת תוקף של תקנות שעת חרום (תפיסת נכסים), התש""ט-1949",1949-06-19 00:00:00,12,56,
148058,1,"חוק לתיקון פקודת הספירטים הממותלים, התש""ט-1949",1949-06-19 00:00:00,12,57,
149116,1,"חוק להארכת תוקף של תקנות שעת חרום (נכסי נפקדים), התש""ט-1949",1949-06-19 00:00:00,12,57,
147710,1,"חוק המילוות על יבול ההדרים (ערבות), התש""ט-1949",1949-06-19 00:00:00,12,58,
150279,1,"חוק להארכת תוקף של תקנות שעת חירום (סמכויות עריית תל-אביב ביפו) (מס. 2), התש""ט-1949",1949-07-01 00:00:00,13,61,
147323,1,"חוק הגנת החייל (דירה), התש""ט-1949",1949-07-01 00:00:00,13,64,
147080,1,"חוק לתיקון פקודת בריאות העם (תקנות בנדון צרכי מאכל), התש""ט-1949",1949-07-01 00:00:00,13,69,
149115,1,"חוק להארכת תוקף של תקנות שעת חרום (תפיסת נכסים) (מס. 2), התש""ט-1949",1949-07-20 00:00:00,14,71,
147944,1,"חוק המעבר (הוראת שעה) (מס' 2), התש""ט-1949",1949-07-20 00:00:00,14,72,
148993,1,"חוק להארכת תוקף של תקנות שעת חירום (אזורי בטחון), התש""ט-1949",1949-07-20 00:00:00,14,72,
148875,1,"חוק התקציב (הוראות מעבר), התש""ט-1949 (תקציב לחודש יולי 1949)",1949-07-21 00:00:00,15,73,
148873,1,"חוק התקציב (הוראות מעבר) (מס. 2), התש""ט-1949",1949-08-01 00:00:00,16,129,
147711,1,"חוק המילוות לפרדסנים, התש""ט-1949",1949-08-03 00:00:00,17,131,
149095,1,"חוק לתיקון תקנות ההגנה (כספים), התש""ט-1949",1949-08-03 00:00:00,17,133,
148992,1,"חוק להארכת תוקף של תקנות שעת חירום (אזורי בטחון) (מס. 2),התש""ט-1949",1949-08-03 00:00:00,17,136,
148210,1,"חוק לתיקון פקודת העיריות, התש""ט-1949",1949-08-03 00:00:00,17,140,
147483,1,"חוק כלי הירייה, התש""ט-1949",1949-08-07 00:00:00,18,143,
147320,1,"חוק העלאת עצמותיו של הרצל, התש""ט-1949",1949-08-17 00:00:00,19,149,
148890,1,"חוק תקציבי השירותים הדתיים היהודיים, התש""ט-1949",1949-08-17 00:00:00,19,150,
147835,1,"חוק מס הרכוש העירוני (הוראות שונות), התש""ט-1949",1949-08-17 00:00:00,19,152,
147891,1,"חוק מסי מכס ובלו (שינוי תעריף), התש""ט-1949",1949-08-17 00:00:00,19,154,
147876,1,"חוק לתיקון פקודת מסי העירייה ומסי הממשלה (פטורים), התש""ט-1949",1949-08-17 00:00:00,19,155,
149054,1,"חוק להארכת תוקף של תקנות שעת חירום (חוקת השיפוט תש""ח) (מס. 2), התש""ט-1949",1949-08-17 00:00:00,19,156,
157662,1,"חוק להארכת תוקף של תקנות שעת חירום (אכסון במלון), התש""ט-1949",1949-08-17 00:00:00,19,156,
148389,1,"חוק לתיקון פקודת המשכנתות על אניות, התש""ט-1949",1949-08-17 00:00:00,19,157,
150182,1,"חוק לביטול פקודת הנהלת הנכסים הרוסיים, התש""ט-1949",1949-09-02 00:00:00,20,159,
