bill_id,knesset_num,sub_type,status,ancestor_first_plenum_discussion,presented_to_plenum,merged_first_call,from_presented_to_first_call,from_presented_to_first_call_without_pagra,merged_last_call,from_last_call_to_first_relevant_committee_discussion,from_last_call_to_first_relevant_committee_discussion_without_pagra,from_first_relevant_committee_discussions_to_last,from_first_relevant_committee_discussions_to_last_without_pagra,from_presented_to_plenum_to_publication,from_presented_to_plenum_to_publication_without_pagra,from_first_plenum_discussion_to_publication,from_first_plenum_discussion_to_publication_without_pagra,publication_date,dates_comments
147145,1,ממשלתית,התקבלה בקריאה שלישית,1950-03-20,1950-03-20,1950-03-20,0,0,1950-03-20,,,,,134,130,134,130,1950-08-01,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147162,1,ממשלתית,התקבלה בקריאה שלישית,1950-01-24,1950-06-05,1950-06-05,0,0,1950-06-05,,,,,65,65,197,193,1950-08-09,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147183,1,ממשלתית,התקבלה בקריאה שלישית,1951-04-02,1951-04-02,1951-04-02,0,0,1951-04-02,,,,,87,55,87,55,1951-06-28,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147221,1,ממשלתית,התקבלה בקריאה שלישית,1949-04-26,1949-04-26,1949-04-26,0,0,1949-04-26,,,,,28,28,28,28,1949-05-24,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147223,1,ממשלתית,התקבלה בקריאה שלישית,1951-06-19,1951-06-19,1951-06-19,0,0,1951-06-19,,,,,22,14,22,14,1951-07-11,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147232,1,ממשלתית,התקבלה בקריאה שלישית,1950-05-15,1950-05-15,1950-05-15,0,0,1950-05-15,,,,,171,104,171,104,1950-11-02,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147248,1,ממשלתית,התקבלה בקריאה שלישית,1950-05-15,1950-05-15,1950-05-15,0,0,1950-05-15,,,,,95,87,95,87,1950-08-18,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147300,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1951-03-21,"failed to find presented to plenum, failed to find first call, failed to find last call"
147314,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1951-02-15,"failed to find presented to plenum, failed to find first call, failed to find last call"
147320,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1949-08-17,"failed to find presented to plenum, failed to find first call, failed to find last call"
147323,1,ממשלתית,התקבלה בקריאה שלישית,1949-06-22,,,,,,,,,,,,9,9,1949-07-01,"failed to find presented to plenum, failed to find first call, failed to find last call"
147363,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1950-08-18,"failed to find presented to plenum, failed to find first call, failed to find last call"
147376,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1951-07-11,"failed to find presented to plenum, failed to find first call, failed to find last call"
